user_id,book_id,rating
7,585,4
7,1071,4
7,1464,5
7,1484,5
7,2487,5
7,2491,1
7,2693,4
7,2969,4
7,3797,2
7,4588,3
7,5341,5
7,6445,4
19,4638,2
19,5241,3
19,6234,4
19,7756,5
19,8717,4
22,4731,4
22,5575,3
22,6013,4
22,6555,4
22,7568,3
22,7614,3
22,8214,4
23,2906,3
23,4384,3
23,5039,2
23,5077,3
23,6146,3
23,6715,4
23,7545,2
23,7729,3
23,8227,2
23,8255,3
23,9306,2
23,9792,3
23,9909,4
24,3142,4
24,3488,4
24,6438,4
24,6535,3
24,7409,4
25,6160,3
25,8336,4
25,8589,5
25,8946,5
25,9858,3
27,5113,4
27,5674,4
27,6171,3
27,6720,4
27,7189,4
27,8516,3
35,291,3
35,410,4
35,540,3
35,557,3
35,672,4
35,682,3
35,696,3
35,820,3
35,829,3
35,1107,3
35,1144,2
35,1928,3
35,1957,4
35,2136,2
35,2188,3
35,2926,4
35,3775,3
35,4103,4
35,4468,4
36,3518,2
36,3672,5
36,4507,5
36,5173,5
36,5181,5
36,5331,5
36,5366,5
36,5950,4
40,4451,4
40,5663,3
40,5709,5
40,6491,5
40,6990,5
40,7239,3
40,8166,3
41,841,5
41,1002,5
41,1093,5
41,1824,3
41,2931,3
41,2968,4
41,3330,5
41,3525,5
41,3652,4
41,3814,5
41,4036,5
41,4087,3
41,4665,4
41,5257,4
41,5504,4
41,6792,5
41,6811,5
41,7834,5
41,8348,3
41,8517,5
41,9837,3
46,2766,3
46,5041,5
46,6087,5
46,6211,5
46,7748,5
46,7991,5
46,8997,3
47,3912,4
47,3955,4
47,4610,4
47,4992,2
47,5412,3
47,5628,5
47,6577,3
47,6661,4
47,7762,3
49,1683,4
49,3679,4
49,4739,3
49,4973,2
49,5954,2
49,8337,2
49,8449,3
49,8724,4
49,9264,2
51,4953,4
51,5054,4
51,5596,5
51,6596,3
51,7874,4
52,3954,3
52,4115,4
52,5325,2
52,6033,4
52,7264,5
52,7668,4
52,9392,5
61,2019,2
61,3062,2
61,5127,3
61,6327,3
61,8722,4
62,5275,5
62,5478,4
62,5881,5
62,7169,4
62,8696,4
62,8882,4
62,9645,4
75,164,3
75,269,1
75,598,4
75,1009,4
75,1112,3
75,1322,5
75,1385,5
75,1663,2
75,1728,4
75,2967,5
75,3254,2
75,3856,4
75,4508,4
75,4759,3
75,4987,3
75,6777,5
75,9173,2
75,9772,3
82,2110,4
82,3024,2
82,3911,3
82,4061,4
82,5033,4
82,5358,4
82,7575,4
82,8361,5
82,8696,3
82,9323,5
82,9667,4
87,4679,2
87,9530,3
87,9593,3
87,9676,3
87,9747,3
89,1349,3
89,1683,4
89,1705,4
89,2698,5
89,2736,3
89,6361,5
89,7103,3
89,7266,5
89,7495,5
89,8525,2
89,8857,5
107,3461,3
107,4437,3
107,5819,3
107,6583,3
107,7487,3
107,9150,3
116,2344,4
116,4421,5
116,5293,2
116,5463,5
116,7540,5
116,8805,4
119,2332,4
119,2396,5
119,2583,4
119,2617,5
119,2675,5
119,4077,4
119,4150,5
119,4343,5
119,4377,5
119,5379,5
119,5650,4
119,6479,5
119,6623,5
119,6699,4
119,6721,4
119,7221,4
119,7482,4
119,7582,5
119,7610,4
119,8583,4
124,1206,5
124,4406,4
124,4769,5
124,7266,3
124,8857,4
133,2744,5
133,3708,4
133,5294,5
133,6394,2
133,7401,4
133,8389,3
140,4443,5
140,5678,4
140,6863,5
140,8189,3
140,8404,5
140,8529,5
140,9754,3
143,610,5
143,678,4
143,723,3
143,801,4
143,1190,5
143,1455,3
143,1966,3
143,2003,3
143,2476,3
143,2679,4
143,2853,4
143,3519,5
143,6364,1
143,7296,4
143,7633,3
143,7794,4
143,9309,2
143,9508,3
145,1571,2
145,2753,4
145,3046,2
145,3187,5
145,3472,4
145,7060,4
145,7840,3
145,8188,4
145,8676,5
146,4055,3
146,4920,2
146,5349,3
146,6033,5
146,6870,2
146,7008,4
148,1562,3
148,3345,4
148,3955,4
148,4093,3
148,4568,3
148,5031,3
148,5900,4
148,6105,3
148,6579,3
148,7555,4
148,8873,4
148,8968,4
153,506,3
153,713,2
153,774,3
153,920,1
153,1044,4
153,1140,3
153,1403,2
153,1599,4
153,1730,1
153,1799,3
153,2179,3
153,2307,1
153,3118,2
153,3343,3
153,4280,2
153,5712,2
153,5913,3
153,6458,2
153,7685,4
153,8241,3
153,8501,3
153,9096,3
153,9886,4
158,439,3
158,611,4
158,944,4
158,1727,5
158,1885,4
158,2009,5
158,2155,4
158,3921,4
158,5945,4
